,segment,abitazione,isolamento,age,area,regione,longitude,latitude,ripartizione,temperatura_estiva,umidita_estiva,temperatura_invernale,degree_days,riscaldament_fascia_A,riscaldament_fascia_B,riscaldament_fascia_C,riscaldament,raffrescament_fascia_A,elettricita,raffrescament_fascia_B,raffrescament_fascia_C,raffrescament
2711,2,casa plurifamiliare,Abbastanza isolata,56,60,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,3,4,1,8,0,389,0,0,0
2712,2,casa plurifamiliare,Poco isolata,61,78,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,2,2,2,6,0,389,0,0,0
2713,2,appartamento in edificio piccolo,Ben isolata,49,66,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,3,4,0,7,0,589,0,0,0
2714,2,appartamento in edificio piccolo,Abbastanza isolata,5,65,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,2,3,1,6,0,489,0,0,0
2715,1,casa unifamiliare,Ben isolata,14,223,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,4,3,0,7,0,1089,0,0,0
2716,1,casa plurifamiliare,Non isolata,58,121,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,2,5,1,8,0,389,0,0,0
2717,2,casa unifamiliare,Ben isolata,51,106,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,4,4,4,12,0,289,0,5,5
2718,0,appartamento in edificio piccolo,Abbastanza isolata,56,119,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,8,7,0,15,0,689,0,0,0
2719,1,appartamento in edificio piccolo,Abbastanza isolata,22,68,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,0,2,0,2,0,1089,0,0,0
2720,2,casa unifamiliare,Abbastanza isolata,49,108,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,3,4,0,7,0,1089,0,0,0
2721,1,casa plurifamiliare,Ben isolata,10,143,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,8,8,0,16,0,1089,0,0,0
2722,1,casa unifamiliare,Abbastanza isolata,31,91,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,1,1,0,2,0,689,0,0,0
2723,1,appartamento in edificio medio,Abbastanza isolata,36,88,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,2,4,2,8,0,389,0,0,0
2724,1,casa unifamiliare,Ben isolata,12,332,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,2,3,0,5,0,389,0,0,0
2725,0,casa plurifamiliare,Poco isolata,35,65,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,4,4,0,8,0,289,0,0,0
2726,2,casa unifamiliare,Poco isolata,51,63,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,4,4,1,9,0,389,0,0,0
2727,1,casa unifamiliare,Poco isolata,56,143,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,4,4,0,8,0,1089,0,0,0
2728,0,casa unifamiliare,Poco isolata,80,168,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,2,8,0,10,0,489,0,0,0
2729,2,appartamento in edificio piccolo,Ben isolata,41,73,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,0,4,1,5,0,389,0,0,0
2730,2,casa unifamiliare,Non isolata,138,111,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,7,8,0,15,0,689,0,0,0
2731,1,casa plurifamiliare,Non isolata,29,126,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,1,5,0,6,0,789,0,0,0
2732,2,appartamento in edificio piccolo,Ben isolata,55,121,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,4,8,3,15,0,489,0,0,0
2733,0,casa plurifamiliare,Ben isolata,39,395,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,4,6,0,10,0,389,0,0,0
2734,0,casa plurifamiliare,Abbastanza isolata,34,61,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,3,5,2,10,0,389,0,0,0
2735,0,appartamento in edificio piccolo,Poco isolata,20,69,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,1,2,0,3,0,389,2,0,2
2736,0,casa plurifamiliare,Poco isolata,21,200,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,0,2,2,4,0,489,0,0,0
2737,1,casa plurifamiliare,Abbastanza isolata,51,95,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,0,3,1,4,0,589,3,1,4
2738,0,casa plurifamiliare,Abbastanza isolata,42,106,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,5,6,0,11,0,289,0,0,0
2739,0,casa unifamiliare,Poco isolata,113,76,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,0,2,1,3,0,589,0,0,0
2740,2,casa plurifamiliare,Non isolata,24,46,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,2,6,1,9,0,289,0,0,0
2741,0,casa plurifamiliare,Abbastanza isolata,17,90,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,3,7,0,10,0,389,0,0,0
2742,3,appartamento in edificio piccolo,Abbastanza isolata,48,117,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,4,4,2,10,0,1089,0,0,0
2743,2,casa unifamiliare,Ben isolata,20,79,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,4,8,0,12,0,389,0,0,0
2744,0,casa plurifamiliare,Non isolata,48,110,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,4,4,0,8,0,289,0,0,0
