,segment,abitazione,isolamento,age,area,regione,longitude,latitude,ripartizione,temperatura_estiva,umidita_estiva,temperatura_invernale,degree_days,riscaldament_fascia_A,riscaldament_fascia_B,riscaldament_fascia_C,riscaldament,raffrescament_fascia_A,elettricita,raffrescament_fascia_B,raffrescament_fascia_C,raffrescament,ripart_t,segment_i,seg_cas,isolamento_intercept,seg_rip,ripart_intercept,locationAbition,new_group_e,new_group_r
8186,0,casa unifamiliare,Poco isolata,100,104,Umbria,12.38,43.11,Centrale,30.5,40,-2,2289,3,0,2,5,0,8520.0494,0,0,0,non_nord_est,primo,SC0,isI1,SR0,Centr,Centrale-casa unifamiliare-0,HSDR_group64,Zero
8187,0,casa plurifamiliare,Abbastanza isolata,44,146,Umbria,12.38,43.11,Centrale,30.5,40,-2,2289,3,3,2,8,0,2721.7272000000003,0,0,0,non_nord_est,primo,SC0,isI0,SR0,Centr,Centrale-casa plurifamiliare-0,HSDR_group64,Zero
8188,0,appartamento in edificio piccolo,Abbastanza isolata,47,88,Umbria,12.38,43.11,Centrale,30.5,40,-2,2289,6,7,0,13,0,2114.4970000000003,0,0,0,non_nord_est,primo,SC3,isI0,SR0,Centr,Centrale-appartamento in edificio piccolo-0,HSDR_group63,Zero
8189,0,casa unifamiliare,Abbastanza isolata,86,146,Umbria,12.38,43.11,Centrale,30.5,40,-2,2289,2,4,1,7,0,1099.0026,0,0,0,non_nord_est,primo,SC0,isI0,SR0,Centr,Centrale-casa unifamiliare-0,HSDR_group64,Zero
8190,0,casa unifamiliare,Abbastanza isolata,34,104,Umbria,12.38,43.11,Centrale,30.5,40,-2,2289,2,2,0,4,0,1524.3484,0,0,0,non_nord_est,primo,SC0,isI0,SR0,Centr,Centrale-casa unifamiliare-0,HSDR_group64,Zero
8191,0,casa plurifamiliare,Non isolata,42,264,Umbria,12.38,43.11,Centrale,30.5,40,-2,2289,1,5,1,7,0,2242.6707,0,0,0,non_nord_est,primo,SC0,isI1,SR0,Centr,Centrale-casa plurifamiliare-0,HSDR_group64,Zero
8192,0,appartamento in edificio piccolo,Abbastanza isolata,25,79,Umbria,12.38,43.11,Centrale,30.5,40,-2,2289,3,3,0,6,0,1263.5546000000002,0,0,0,non_nord_est,primo,SC3,isI0,SR0,Centr,Centrale-appartamento in edificio piccolo-0,HSDR_group63,Zero
8193,1,casa plurifamiliare,Abbastanza isolata,32,114,Umbria,12.38,43.11,Centrale,30.5,40,-2,2289,0,4,3,7,0,1702.312,0,0,0,non_nord_est,secondo,SC0,isI0,SR0,Centr,Centrale-casa plurifamiliare-1,HSDR_group52,Zero
8194,1,casa plurifamiliare,Poco isolata,85,149,Umbria,12.38,43.11,Centrale,30.5,40,-2,2289,5,8,1,14,0,2488.6838,0,0,0,non_nord_est,secondo,SC0,isI1,SR0,Centr,Centrale-casa plurifamiliare-1,HSDR_group52,Zero
8195,0,appartamento in edificio piccolo,Ben isolata,36,105,Umbria,12.38,43.11,Centrale,30.5,40,-2,2289,0,0,0,0,0,1363.2384,0,0,0,non_nord_est,primo,SC3,isI0,SR0,Centr,Centrale-appartamento in edificio piccolo-0,HSDR_group63,Zero
8196,1,appartamento in edificio piccolo,Ben isolata,21,95,Umbria,12.38,43.11,Centrale,30.5,40,-2,2289,1,1,1,3,0,2410.8512,0,0,0,non_nord_est,secondo,SC0,isI0,SR0,Centr,Centrale-appartamento in edificio piccolo-1,HSDR_group52,Zero
8197,2,appartamento in edificio piccolo,Abbastanza isolata,45,102,Umbria,12.38,43.11,Centrale,30.5,40,-2,2289,2,6,0,8,0,2243.2848000000004,0,0,0,non_nord_est,primo,SC2,isI0,SR0,Centr,Centrale-appartamento in edificio piccolo-2,HSDR_group63,Zero
8198,0,appartamento in edificio piccolo,Non isolata,35,106,Umbria,12.38,43.11,Centrale,30.5,40,-2,2289,3,3,0,6,0,1948.173,0,0,0,non_nord_est,primo,SC3,isI1,SR0,Centr,Centrale-appartamento in edificio piccolo-0,HSDR_group63,Zero
8199,0,casa plurifamiliare,Ben isolata,9,308,Umbria,12.38,43.11,Centrale,30.5,40,-2,2289,8,8,0,16,0,1822.256,0,0,0,non_nord_est,primo,SC0,isI0,SR0,Centr,Centrale-casa plurifamiliare-0,HSDR_group64,Zero
8200,2,casa plurifamiliare,Ben isolata,47,115,Umbria,12.38,43.11,Centrale,30.5,40,-2,2289,1,2,0,3,0,2206.6712,0,0,0,non_nord_est,primo,SC0,isI0,SR0,Centr,Centrale-casa plurifamiliare-2,HSDR_group64,Zero
8201,1,casa unifamiliare,Abbastanza isolata,26,117,Umbria,12.38,43.11,Centrale,30.5,40,-2,2289,2,4,0,6,0,9743.8594,0,0,0,non_nord_est,secondo,SC5,isI0,SR0,Centr,Centrale-casa unifamiliare-1,HSDR_group52,Zero
8202,1,casa unifamiliare,Ben isolata,32,95,Umbria,12.38,43.11,Centrale,30.5,40,-2,2289,3,2,0,5,0,1857.5688,0,0,0,non_nord_est,secondo,SC5,isI0,SR0,Centr,Centrale-casa unifamiliare-1,HSDR_group52,Zero
